reference_type,author,year,title,publisher,volume,issue,pages,abstract,url,field,subcategory,keywords,journal
Journal Article,", Jirousek Afdhal, O., Palar, P. S., Falta, J., Dwianto, Y. B.",2023,Design exploration of additively manufactured chiral auxetic structure using explainable machine learning,Elsevier Ltd,232,,,"A design exploration of hexachiral structures using explainable machine learning (ML) is performed in this work. The hexachiral structures are fabricated using resin via vat photopolymerization (VPP). The ML model is used to build the function that explains the association between Poisson's ratio and the hexachiral design parameters. The data set for ML model construction is first collected by using the Halton sequence and simulated using the finite element method (FEM). To validate the data set, the results obtained from the FEM simulation are compared with those obtained from the compression test. The Gaussian Process Regression (GPR) models for Poisson's ratio and porosity are constructed to extract important design insight. A Global Sensitivity Analysis (GSA) and Shapley Additive Explanations (SHAP) are used to analyze the sensitivity of the porosity and Poisson's ratio to the hexachiral design parameters. GSA result shows that the strut's thickness is the most decisive parameter that affects the Poisson's ratio. The application of SHAP also reveals that the relationship between the strut thickness and Poisson's ratio is nonlinear. Finally, the minimum Poisson's ratio value is achieved by design with minimum strut thickness, minimum node radius, and maximum strut length.(c) 2023 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",,CE,Materials,Chiral auxetic structure; Machine learning; Vat photopolymerization; Finite element method; Gaussian process regression,Materials & Design
Journal Article,"N., Assadi Ahmed, M., Zhang, Q.",2023,Investigating the impact of borehole field data's input parameters on the forecasting accuracy of multivariate hybrid deep learning models for heating and cooling,Elsevier Ltd,301,,,"Heat pump systems coupled with Borehole heat exchanger (BHEx) are crucial for the efficient and cost-effective heating and cooling of buildings. Accurate performance forecasting of BHEx can help to reduce energy consumption, optimize system design, improve system reliability and ultimately contribute to the sustainability of the built environment. The performance of deep neural networks, including hybrid deep learning algorithms, is dependent on the number and true identification of input parameters used to train the model. While research on the accuracy and selection of individual deep neural networks is well-investigated, the impact of selected input parameters on hybrid algorithm selection and its subsequent influence on multi-step forecasting performance has not been quantified specifically for geothermal heating/cooling systems. The focus of the current work is to investigate and quantify this impact on multivariate hybrid deep learning algorithms for forecasting borehole heat exchanger outlet temperature. In the current work the developed hybrid AI models (LSTM-CNN, GRU-CNN, CNN-LSTM, CNN-GRU) have been trained, validated, and tested using the measured borehole-field data with variable number of input parameters (3,4,5 and 6). The validated AI models are used to forecast 24 h ahead performance of borehole heat exchanger to meet the heating and cooling loads. The most essential input parameters for the data-driven AI models are determined via an importance-level analysis by using Explainable AI techniques of Shapley Additive Explanations (SHAP). The findings show that increasing the number of input parameters has the potential to enhance the multi-step forecasting accuracy of the examined deep learning models. However, it is crucial to note that there is a point where including additional input parameters may not lead to further improvements. Therefore, it is essential to identify the optimal number of input parameters that can maximize the accuracy of the hybrid deep learning models. Moreover, the analysis highlights that depending on the architecture of specific model layers, it is possible to eliminate redundant weather sensors associated with time variables without compromising the accuracy of the hybrid deep learning models. © 2023 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175633374&doi=10.1016%2Fj.enbuild.2023.113706&partnerID=40&md5=f3d44155a266739ecf03ded48154d589,CE,Energy,borehole coupled heat pump; heating and cooling; ground source heat pump; prediction model; hybrid forecasting models; data driven modeling,Energy and Buildings
Journal Article,"Y., Aslansefat Akhlaghi, K., Zhao, X., Sadati, S., Badiei, A., Xiao, X., Shittu, S., Fan, Y., Ma, X.",2021,Hourly performance forecast of a dew point cooler using explainable Artificial Intelligence and evolutionary optimisations by 2050,Elsevier Ltd,281,,,"The empirical success of the Artificial Intelligence (AI), has enhanced importance of the transparency in black box Machine Learning (ML) models. This study pioneers in developing an explainable and interpretable Deep Neural Network (DNN) model for a Guideless Irregular Dew Point Cooler (GIDPC). The game theory based SHapley Additive exPlanations (SHAP) method is used to interpret contribution of the operating conditions on performance parameters. Furthermore, in a response to the endeavours in developing more efficient metaheuristic optimisation algorithms for the energy systems, two Evolutionary Optimisation (EO) algorithms including a novel bio-inspired algorithm i.e., Slime Mould Algorithm (SMA), and Particle Swarm Optimization (PSO), are employed to simultaneously maximise the cooling efficiency and minimise the construction cost of the GIDPC. Additionally, performance of the optimised GIDPCs are compared in both statistical and deterministic way. The comparisons are carried out in diverse climates in 2020 and 2050 in which the hourly future weather data are projected using a high-emission scenario defined by Intergovernmental Panel for Climate Change (IPCC). The results revealed that the hourly COP of the optimised systems outperform the base design. Although power consumption of all systems increases from 2020 to 2050, owing to more operating hours as a result of global warming, but power savings of up to 72%, 69.49%, 63.24%, and 69.21% in hot summer continental, Arid, tropical rainforest and Mediterranean hot summer climates respectively, can be achieved when the systems run optimally. © 2020 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094604171&doi=10.1016%2Fj.apenergy.2020.116062&partnerID=40&md5=4b90da6259da2d19c08d7573fbdaae35,CE,Energy,dew point cooler; multi objective evolutionary optimization; particle swarm optimization; slime mould algorithm; artificial intelligence,Applied Energy
Journal Article,"M. A., Burton Aladsani, H., Abdullah, S. A., Wallace, J. W.",2022,Explainable Machine Learning Model for Predicting Drift Capacity of Reinforced Concrete Walls,American Concrete Institute,119,3,191–204,"The ability to predict the drift capacity of reinforced concrete structural walls is critical to the seismic design process. The accuracy of such predictions has implications for construction costs, seismic safety, and reliability. However, the inability of an empirical model to capture any nonlinearity that exists between the drift capacity and different influencing variables can negatively impact the predictive performance. This study proposes a drift capacity prediction model for special structural walls based on the extreme gradient boosting machine-learning algorithm and a data set of 164 special boundary element wall tests. The efficiency of the proposed model is evaluated using a nested cross-validation approach, and the results reveal its superior predictive capabilities relative to the empirical equation adopted in ACI 318-19. To overcome the lack of interpretability of the model, SHapley Additive exPlanations are used to examine the relative individual and interactive effects of the different input variables on the drift capacity. © 2022 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131300644&doi=10.14359%2F51734484&partnerID=40&md5=3d3b77e82458bc6efaaf6d7eb96a3cec,CE,Structural,artificial intelligence; drift capacity; extreme gradient boosting; machine learning; reinforced concrete walls; special boundary elements,ACI Structural Journal
Journal Article,"M. G., Tripathi Alam, V., Bhatt, C. M., Mohanty, M. P.",2025,A novel framework embedding Bayesian-optimized ensemble machine learning and explainable artificial intelligence (XAI) to improve flood prediction in complex watersheds,Elsevier Inc.,27,,,"Floods are among the most common and destructive natural hazards, particularly in areas characterized by data scarcity and intricate geomorphological features. In such regions, accurate and interpretable flood susceptibility mapping is essential for effective risk reduction and informed urban planning. This study proposes a novel ensemble machine learning (ML) framework integrated with geomorphology-based flood conditioning factors (FCFs) to identify flood-prone areas over Kosi Megafan in India-a large watershed with significant anabranching characteristics. A comprehensive set of 21 FCFs, including topographic, hydrologic, and stream-related indicators-was derived from the FABDEM, satellite imagery, and ancillary datasets. After multicollinearity analysis and information gain ratio filtering, 15 key FCFs were selected for model training. Four base ML models, namely, Random Forest, XGBoost, CatBoost, and Long Short-Term Memory, were optimized using Bayesian techniques and combined into a stacked ensemble classifier. The model was trained using historical flood extents from the Global Surface Water dataset and validated against Sentinel-1 SAR imagery. Results indicate that the ensemble model outperformed individual classifiers, achieving the highest accuracy (90 %) and Cohen's Kappa (0.79). SHapley Additive exPlanations (SHAP) were used to enhance interpretability, highlighting elevation, rainfall, curve number, and drainage density as the most influential predictors. The final flood susceptibility map shows that 35.18 % of the megafan is very highly susceptible, aligning well with observed flood events. This interpretable and scalable framework holds strong potential for enhancing flood risk management in complex, datascarce catchments, while also supporting global initiatives such as the Sendai Framework and Sustainable Development Goals (SDGs) 11 and 13.",,CE,Water,Bayesian approach; flood susceptibility; Kosi megafan; machine learning; SHAP,Environmental and Sustainability Indicators
Journal Article,"S. F. M., Ahmed Alazawy, M. A., Raheem, S. H., Imran, H., Bernardo, L. F. A., Pinto, H. A. S.",2025,Explainable Machine Learning to Predict the Construction Cost of Power Plant Based on Random Forest and Shapley Method,Multidisciplinary Digital Publishing Institute (MDPI),6,2,,"This study aims to develop a reliable method for predicting power plant construction costs during the early planning stages using ensemble machine learning techniques. Accurate cost predictions are essential for project feasibility, and this research highlights the strength of ensemble methods in improving prediction accuracy by combining the advantages of multiple models, offering a significant improvement over traditional approaches. This investigation employed the Random Forest (RF) algorithm to estimate the overall construction cost of a power plant. The RF algorithm was contrasted with single-learner machine learning models: Support Vector Regression (SVR) and k-Nearest Neighbors (KNN). Performance measures, comprising the coefficient of determination ((Formula presented.)), Mean Absolute Error (MAE), and Root Mean Squared Error (RMSE), were used to evaluate and contrast the performance of the implemented models. Statistical measures demonstrated that the RF approach surpassed alternative models, demonstrating the highest coefficient of determination for testing ((Formula presented.)) and the lowest Root Mean Square Error (RMSE = 29.27) for the testing dataset. The Shapley Additive Explanation (SHAP) technique was implemented to explain the significance and impact of predictor factors affecting power plant construction costs. The outcomes of this investigation provide crucial information for project decision-makers, allowing them to reduce discrepancies in projected costs and make informed decisions at the beginning of the construction phase. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009281150&doi=10.3390%2Fcivileng6020021&partnerID=40&md5=ccccac53e66471f3831fb94559fa7919,CEM,Cost Estimation / Bidding,random forest; construction cost; shapley value; power plant,CivilEng
Journal Article,"M., Mallick Alkahtani, J., Alqadhi, S., Sarif, M. N., Ahmed, M. F. M., Abdo, H. G.",2024,Interpretation of Bayesian-optimized deep learning models for enhancing soil erosion susceptibility prediction and management: a case study of Eastern India,Taylor & Francis,39,1,,"Soil erosion poses a significant threat to sustainable land management and agricultural productivity. Addressing this issue requires advanced predictive models that can accurately identify areas at risk and inform soil conservation strategies. This study focuses on the development and interpretation of well-optimized deep learning (DL) models to predict soil erosion probability, aiming to enhance decision-making in land management. Utilizing the Revised Universal Soil Loss Equation (RUSLE) in conjunction with ground-truthing, we identified critical erosion-prone areas. To predict soil erosion probability, we employed Bayesian optimization to fine-tune Deep Neural Network (DNN), Convolutional Neural Network (CNN), Fully Connected Neural Network (FCNN), and DNN-CNN hybrid models. These DL models were verified using a set of metrics. SHAP value analysis as a means of explainable artificial intelligence (XAI) was used to interpret these DL models for better decision-making. RUSLE estimations and ground truthing highlight that Soil erosion rates in the northeastern and northwestern regions are nearing the highest observed at 25 tonnes per hectare annually, largely due to steep slopes and limited vegetation. In contrast, the southern and southeastern areas have lower erosion rates, due to denser vegetation and gentler slopes. Deep learning models, optimized using Bayesian methods, demonstrate high performance in spatially modeling soil erosion probability. The DNN model achieved an accuracy of 0.93, a precision of 0.92, and an F1-score of 0.94, identifying 222.73 sq. km as highly susceptible to erosion, which indicates its strong ability to detect true erosion events. The CNN model identified 49.68% of the study area (503.30 sq. km) as high-risk, with an accuracy of 0.90 and a precision of 0.91. The FCNN model showed a balanced risk distribution, indicating 37.04% of the land (375.25 sq. km) as very low risk and 36.43% (369.11 sq. km) as very high risk, with an accuracy of 0.91. The DNN-CNN hybrid model highlighted 41.58% of the area (421.20 sq. km) as high risk, demonstrating its effectiveness in capturing spatial patterns of erosion susceptibility. SHAP value analysis indicates that land use and soil type (LULC and K-factor) are crucial in erosion predictions, with LULC having a significant predictive influence in the DNN model. These insights facilitate the prioritization of soil conservation measures, enabling decision-makers to focus on the most impactful factors for mitigating soil erosion.",,CE,Environmental,Soil erosion prediction; deep learning; Bayesian Optimization; SHAP values; sustainable land management,Geocarto International
Journal Article,"D., Mallick Alqahtani, J., Alqahtani, A. M., Talukdar, S.",2024,Optimizing Residential Construction Site Selection in Mountainous Regions Using Geospatial Data and eXplainable AI,Multidisciplinary Digital Publishing Institute (MDPI),16,10,,"The rapid urbanization of Abha and its surrounding cities in Saudi Arabia’s mountainous regions poses challenges for sustainable and secure development. This study aimed to identify suitable sites for eco-friendly and safe building complexes amidst complex geophysical, geoecological, and socio-economic factors, integrating natural hazards assessment and risk management. Employing the Fuzzy Analytic Hierarchy Process (Fuzzy-AHP), the study constructed a suitability model incorporating sixteen parameters. Additionally, a Deep Neural Network (DNN) based on eXplainable Artificial Intelligence (XAI) conducted sensitivity analyses to assess the parameters’ influence on optimal location decision making. The results reveal slope as the most crucial parameter (22.90%), followed by altitude and land use/land cover (13.24%), emphasizing topography and environmental considerations. Drainage density (11.36%) and rainfall patterns (9.15%) are also significant for flood defense and water management. Only 12.21% of the study area is deemed “highly suitable”, with “no-build zones” designated for safety and environmental protection. DNN-based XAI demonstrates the positive impact of variables like the NDVI and municipal solid waste generation on site selection, informing waste management and ecological preservation strategies. This integrated methodology provides actionable insights for sustainable and safe residential development in Abha, aiding informed decision making and balancing urban expansion with environmental conservation and hazard risk reduction. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194271311&doi=10.3390%2Fsu16104235&partnerID=40&md5=86b34995ba3b61c606a7cb037273234b,CE,GIS / Remote Sensing,sustainable urbanization; gis-based site selection; risk assessment; artificial intelligence; mountainous terrain; decision-making framework,Sustainability
Journal Article,"M., Nassar Alyami, R. U. D., Khan, M., Hammad, A. W. A., Alabduljabbar, H., Nawaz, R., Fawad, M., Gamil, Y.",2024,Estimating compressive strength of concrete containing rice husk ash using interpretable machine learning-based models,Elsevier Ltd,20,,,"The construction sector is a major contributor to global greenhouse gas emissions. Using recycled and waste materials in concrete is a practical solution to address environmental challenges. Currently, agricultural waste is widely used as a substitute for cement in the production of ecofriendly concrete. However, traditional methods for assessing the strength of such materials are both expensive and time-consuming. Therefore, this study uses machine learning techniques to develop prediction models for the compressive strength (CS) of rice husk ash (RHA) concrete. The ML techniques used in the present study include random forest (RF), light gradient boosting machine (LightGBM), ridge regression, and extreme gradient boosting (XGBoost). A total of 348 values of CS were collected from the experimental studies, and five characteristics of RHA concrete were taken as input variables. For the performance assessment of the models, multiple statistical metrics were used. During the training phase, the correlation coefficients (R) obtained for ridge regression, RF, XGBoost, and LightGBM were 0.943, 0.981, 0.985, and 0.996, respectively. In the testing set, the developed models demonstrated even higher performance, with correlation coefficients of 0.971, 0.993, 0.992, and 0.998 for ridge regression, RF, XGBoost, and LightGBM, respectively. The statistical analysis revealed that the LightGBM model outperformed other models, whereas the ridge regression model exhibited comparatively lower accuracy. SHapley Additive exPlanation (SHAP) method was employed for the interpretability of the developed model. The SHAP analysis revealed that water-to-cement is a controlling parameter in estimating the CS of RHA concrete. In conclusion, this study provides valuable guidance for builders and researchers to estimate the CS of RHA concrete. However, it is suggested that more",,CE,Materials,rice husk ash; machine learning; compressive strength; shap analysis; prediction modeling,Case Studies in Construction Materials
Journal Article,"X., Luo An, H., Zheng, F., Jiao, Y., Qi, J., Zhang, Y.",2024,Explainable deep learning-based dynamic prediction of surface settlement considering temporal characteristics during deep excavation,Elsevier B.V,167,,,"Accurate prediction of surface settlement (SS) induced by deep foundation pit (DFP) excavation is challenging considering the complicated soil distributions and uncertain construction situations. Therefore, a Recurrent Gated Unit (GRU) neural network model incorporated with Variation Mode Decomposition (VMD) was developed for SS prediction. By data denoising with VMD and hyperparameter tuning using Bayesian Optimization (BO), the proposed GRU model achieved dynamic and accurate prediction of SS caused by DFP excavation. Shapley Additive exPlanations (SHAP) analysis was then performed to enhance the interpretability of the GRU model. The presented GRU model was validated with a case study of Wuhan Metro Line 12 Shiqiao Station. The results indicate that: (1) The GRU models with VMD data denoising technique achieved accurate prediction with the average RMSE of 0.0244, MAE of 0.0189, MAPE of 0.0017, R2 of 0.9894, and VAF of 99.1206. (2) The GRU model outperformed the other five state-of-the-art models in predictive performance with robustness improvement of 13.5 %, 12.0 %, 50.0 %, 29.2 %, and 27.3 %, separately, compared to the other five models. (3) The historical values of the SS make the most significant contributions to the outcomes of the GRU models. In short, this study enhances the accurate and dynamic prediction of SS caused by DFP excavation, contributing to the safe execution of DFP projects. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204989994&doi=10.1016%2Fj.asoc.2024.112273&partnerID=40&md5=c4273c9797fcc353c5f017d15aec9c92,CE,Geotechnical,surface settlement prediction; variation mode decomposition; gated recurrent unit neural network; bayesian optimization; deep learning model explanation,Applied Soft Computing
